windows_min_Under Waves,windows_min_Under Waves,windows_req_Under Waves,windows_req_Under Waves
windows_min_Bloody Hell,windows_min_Bloody Hell,windows_req_Bloody Hell,windows_req_Bloody Hell
операционная система,windows 8 or higher,операционная система,windows 8 or higher
процессор,intel i3,процессор,intel i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,1050,видео карта,1060
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,win7,операционная система,win7
процессор,intel i3,процессор,intel i5
оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce gtx 460 / amd hd 6850,видео карта,geforce gtx 460 / amd hd 6850
,,,
windows_min_Desperate: Vladivostok,windows_min_Desperate: Vladivostok,windows_req_Desperate: Vladivostok,windows_req_Desperate: Vladivostok
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i5-4590
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960 / amd,видео карта,nvidia gtx 970 / amd
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
vr support,steamvr or openxr,vr support,—
,,,
windows_min_Game Of The Dead,windows_min_Game Of The Dead,windows_req_Game Of The Dead,windows_req_Game Of The Dead
операционная система,windows 10,операционная система,windows 10
процессор,ryzen 5 and above,процессор,ryzen 7 and above
оперативная память,4 gb,оперативная память,8 gb
видео карта,4gb vram / direct11+ support,видео карта,4gb vram / direct11+ support
directx,version 11,directx,—
,,,
windows_min_Night Blood : Avenger's Tide,windows_min_Night Blood : Avenger's Tide,windows_req_Night Blood : Avenger's Tide,windows_req_Night Blood : Avenger's Tide
операционная система,windows 7+,операционная система,windows 7+
процессор,intel i5+,процессор,intel i5+
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 750,видео карта,nvidia gtx 950
directx,version 10,directx,version 10
,,,
windows_min_ShadowSENSE.,windows_min_ShadowSENSE.
операционная система,catalina
процессор,intel core i3-8100b
оперативная память,8 gb
видео карта,intel hd graphics 4000
,
windows_min_Bleeding Abyss,windows_min_Bleeding Abyss
операционная система,windows 7
процессор,2.0 ghz
оперативная память,8 gb
видео карта,"nvidia gtx 680, amd r9 280x"
,
windows_min_Ball Go Home,windows_min_Ball Go Home
операционная система,7 or higher
процессор,intel core 2
видео карта,directx compatible
directx,version 9.0
диск,250 mb
,
windows_min_BUBBLE NIGHT,windows_min_BUBBLE NIGHT,windows_req_BUBBLE NIGHT,windows_req_BUBBLE NIGHT
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,amd a8-7600 radeon r7,процессор,g4600
оперативная память,1 gb,оперативная память,2 gb
видео карта,amd radeon[tm] r7 graphics,видео карта,geforce gtx 1060 3gb
,,,
windows_min_Navy War: Battleship Games,windows_min_Navy War: Battleship Games,windows_req_Navy War: Battleship Games,windows_req_Navy War: Battleship Games,macos_min_Navy War: Battleship Games,macos_min_Navy War: Battleship Games,macos_req_Navy War: Battleship Games,macos_req_Navy War: Battleship Games,linux_min_Navy War: Battleship Games,linux_min_Navy War: Battleship Games,linux_req_Navy War: Battleship Games,linux_req_Navy War: Battleship Games
операционная система,"windows 8.0, 8.1, 10, 11",операционная система,"windows 8.0, 8.1, 10, 11",операционная система,mac os x 10.8,операционная система,mac os x 10.8,операционная система,"steamos, fedora, ubuntu",операционная система,—
процессор,2 ghz,процессор,4 ghz,оперативная память,1 gb,оперативная память,2 gb,процессор,2 ghz,процессор,—
оперативная память,1 gb,оперативная память,—,видео карта,video card with 1024 mb,видео карта,video card with 1024 mb,оперативная память,1 gb,оперативная память,—
видео карта,video card with 1024 mb,видео карта,video card with 1024 mb,сеть,широкополосное подключение,сеть,широкополосное подключение,видео карта,video card with 1024 mb,видео карта,video card with 3072 mb
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,1 gb,диск,1 gb,сеть,широкополосное подключение,сеть,широкополосное подключение
,,,,,,,,,,,
windows_min_Pandemic 1993,windows_min_Pandemic 1993,windows_req_Pandemic 1993,windows_req_Pandemic 1993
операционная система,windows10,операционная система,windows10
процессор,intel/amd,процессор,intel core i9-9880h
оперативная память,4 gb,оперативная память,16 gb
видео карта,nvidia/amd,видео карта,radeon pro 5500m
диск,5 gb,диск,5 gb
,,,
windows_min_Ein's Sword,windows_min_Ein's Sword,windows_req_Ein's Sword,windows_req_Ein's Sword
операционная система,windows10/windows11,операционная система,windows10/windows11
процессор,intel core i5 7th gen,процессор,intel core i5 7th gen
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 1660 super,видео карта,geforce gtx 1660 super
directx,version 11,directx,version 11
,,,
windows_min_Elden Gunfire 2,windows_min_Elden Gunfire 2,macos_min_Elden Gunfire 2,macos_min_Elden Gunfire 2,linux_min_Elden Gunfire 2,linux_min_Elden Gunfire 2
операционная система,windows 7 (sp1+) and windows 10,операционная система,high sierra 10.13+,операционная система,linux ubuntu 12.04
процессор,dual-core 2.2 ghz,процессор,intel core i5,процессор,intel core i5 2.5 ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"directx 10 capable gpu, intel hd graphics 5100 / amd radeon 77xx / nvidia geforce gtx 660",видео карта,"metal capable gpu, intel iris pro 5200 or amd/nvidia equivalent for mac",видео карта,geforce 200 series
directx,version 10,сеть,широкополосное подключение,сеть,широкополосное подключение
