windows_min_Planet Nomads,windows_min_Planet Nomads,windows_req_Planet Nomads,windows_req_Planet Nomads,macos_min_Planet Nomads,macos_min_Planet Nomads,macos_req_Planet Nomads,macos_req_Planet Nomads,linux_min_Planet Nomads,linux_min_Planet Nomads,linux_req_Planet Nomads,linux_req_Planet Nomads
диск,1 gb,диск,1 gb,дополнительно,some integrated cards have an issue with memory and may not launch the game,дополнительно,—,дополнительно,"mint 18.3 x64 has worked in test, but is not officially supported by gamemaker studio.",дополнительно,"mint 18.3 x64 has worked in test, but is not officially supported by gamemaker studio."
,,,,,,,,,,,
windows_min_Super Amazing Wagon Adventure,windows_min_Super Amazing Wagon Adventure
операционная система,windows xp
процессор,2.0 ghz
оперативная память,1 gb
видео карта,shader model 2.0
directx,version 9.0c
,
windows_min_Medieval: Total War™ - Collection,windows_min_Medieval: Total War™ - Collection,windows_req_Medieval: Total War™ - Collection,windows_req_Medieval: Total War™ - Collection
операционная система,"vista, windows 7",операционная система,"windows 7, windows 8"
процессор,1 ghz or faster,процессор,1 gigahertz (ghz) or faster 32-bit (x86) or (x64)
оперативная память,512 mb,оперативная память,2 gb
видео карта,directx 9.0c graphic card,видео карта,directx 9.0c graphics device with wddm 1.0 or higher driver
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,2 gb
,,,
windows_min_Scribblenauts Unmasked: A DC Comics Adventure,windows_min_Scribblenauts Unmasked: A DC Comics Adventure,windows_req_Scribblenauts Unmasked: A DC Comics Adventure,windows_req_Scribblenauts Unmasked: A DC Comics Adventure
операционная система,windows xp or higher,операционная система,windows xp or higher
процессор,amd atholon 64 x2 dual-core 4000+,процессор,intel core 2 duo 2.0ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,ati x1800,видео карта,nvidia 7800
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Make America Great Again: The Trump Presidency,windows_min_Make America Great Again: The Trump Presidency
операционная система,windows 7
процессор,any
оперативная память,1 gb
видео карта,integrated video card
диск,550 mb
,
windows_min_Retro City Rampage™ DX,windows_min_Retro City Rampage™ DX,windows_req_Retro City Rampage™ DX,windows_req_Retro City Rampage™ DX
операционная система,mac os x 10.7 or higher,операционная система,—
процессор,1ghz,процессор,—
оперативная память,256 mb,оперативная память,—
видео карта,pixel shader 2.0 and vertex shader 2.0,видео карта,pixel shader 3.0 and vertex shader 3.0
диск,30 mb hd space,диск,—
,,,
windows_min_Fight'N Rage,windows_min_Fight'N Rage,windows_req_Fight'N Rage,windows_req_Fight'N Rage
операционная система,windows xp (service pack 3),операционная система,windows 7
процессор,dual core 2.4 ghz,процессор,core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,"intel(r) hd graphics (opengl 3.0.0, shader version 1.2)",видео карта,nvidia geforce gtx 660
,,,
windows_min_Boundless,windows_min_Boundless,windows_req_Boundless,windows_req_Boundless
операционная система,mac os x high sierra 10.13,операционная система,mac os x high sierra 10.13
процессор,"intel core i3-530, 2.93 ghz",процессор,"intel core i5-3470, 3,20 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,dedicated gpu,видео карта,dedicated gpu
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,8 gb
,,,
windows_min_Niffelheim,windows_min_Niffelheim,windows_req_Niffelheim,windows_req_Niffelheim,macos_min_Niffelheim,macos_min_Niffelheim,macos_req_Niffelheim,macos_req_Niffelheim,linux_min_Niffelheim,linux_min_Niffelheim,linux_req_Niffelheim,linux_req_Niffelheim
операционная система,windows 7 and newest,операционная система,"7, 8, 10",операционная система,macos,операционная система,osx 10.9+,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04+
процессор,1.7 ghz dual core,процессор,2.4 ghz dual core cpu,процессор,1.7 ghz dual core,процессор,2.4 ghz dual core cpu,процессор,1.7 ghz dual core,процессор,2.4 ghz dual core cpu
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,intel iris 4800,видео карта,geforce 9xx or amd,видео карта,intel iris graphics 6100,видео карта,geforce 9xx or amd,видео карта,nvidia geforce gtx 650ti,видео карта,geforce 9xx or amd
directx,version 11,directx,version 11,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
