windows_min_Bed Lying Simulator 2020,windows_min_Bed Lying Simulator 2020
операционна€ система,win 7/8.1/10 (64bit)
процессор,i7
оперативна€ пам€ть,8 gb
видео карта,gtx 660
directx,version 12
,
windows_min_Borderlands 2: Gunzerker Domination Pack,windows_min_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 4790 4 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 1070 / amd gpu radeon rx vega 56 8gb
directx,version 11,directx,version 11
,,,
windows_min_Beyond Enemy Lines 2 - Military Airfield,windows_min_Beyond Enemy Lines 2 - Military Airfield
,
windows_min_Nightwalker,windows_min_Nightwalker,windows_req_Nightwalker,windows_req_Nightwalker
операционна€ система,windows 7,операционна€ система,windows 10
процессор,core i3 / amd 2.0 ghz,процессор,core i5 / amd 3.0 ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,video card with 2 gb memory,видео карта,video card with 6 gb memory
directx,version 11,directx,version 11
,,,
windows_min_Ys VIII: Lacrimosa of DANA - Elixir Set 5 / ,windows_min_Ys VIII: Lacrimosa of DANA - Elixir Set 5 / 
,
windows_min_Lords of the FallenЩ Map,windows_min_Lords of the FallenЩ Map,windows_req_Lords of the FallenЩ Map,windows_req_Lords of the FallenЩ Map
операционна€ система,"windows vista (sp2), windows 7 (sp1) or windows 8 (only oss",операционна€ система,"windows vista (sp2), windows 7 (sp1) or windows 8 (only oss"
процессор,intel core 2 quad q8400 @ 2.66ghz or amd phenom ii x4 940 @ 3.0ghz,процессор,intel core i7-3770 @3.5 ghz or amd fx-8350 x8 @ 4 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 460,видео карта,geforce gtx 560 ti
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
,,,
windows_min_Gun Gun Pixies,windows_min_Gun Gun Pixies,windows_req_Gun Gun Pixies,windows_req_Gun Gun Pixies
операционна€ система,windows10,операционна€ система,windows10
процессор,intel core i5-5257 cpu 3.10ghz or above,процессор,intel core i7-8700 cpu 4.60ghz or above
видео карта,nvidia geforce gtx650 1gb or amd hd 7700 1gb(directx 11 graphic card required),видео карта,nvidia geforce gtx1050 4gb or amd radeon rx550 4gb(directx 11 graphic card required)
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Zombies on a Plane,windows_min_Zombies on a Plane,windows_req_Zombies on a Plane,windows_req_Zombies on a Plane
операционна€ система,"os x version leopard 10.5.8, snow leopard 10.6.3, .",операционна€ система,Ч
процессор,intel mac,процессор,Ч
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"nvidia, ati gpu or intel gpu",видео карта,Ч
directx,version 9.0,directx,version 11
,,,
windows_min_Kick-Ass 2,windows_min_Kick-Ass 2
операционна€ система,windows xp / vista / 7 / 8
процессор,intel coreЩ i3 / amd athlonЩ 64 x2 or higher
оперативна€ пам€ть,2 gb
видео карта,nvidia geforceЩ 8800 gts / amd radeonЩ hd 3850
directx,version 9.0c
,
windows_min_Last Survivor - Deluxe Edition,windows_min_Last Survivor - Deluxe Edition,windows_req_Last Survivor - Deluxe Edition,windows_req_Last Survivor - Deluxe Edition
операционна€ система,windows 7/8/8.1/10,операционна€ система,windows 7/8/8.1/10
процессор,intel core i3 or amd phenom ii x4 / a8/fx 4xxx,процессор,intel core i5 or amd phenom ii x6 / fx 8xxx
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 560 (1024 mb) or amd radeon hd 6870 (1024 mb),видео карта,nvidia geforce gtx 760 (2048 mb) or amd radeon r9 380 (2048 mb)
directx,version 11,directx,Ч
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Life After The Living,windows_min_Life After The Living
операционна€ система,windows 7
процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 10
,
windows_min_VR(VR fire emergency simulation system),windows_min_VR(VR fire emergency simulation system)
операционна€ система,windows7/8/10
процессор,intel i5-4590 / amd fx 8350 equal or higher configuration
оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 960 equal or higher configuration
directx,version 11
,
windows_min_Max Payne 3: Local Justice Pack,windows_min_Max Payne 3: Local Justice Pack
операционна€ система,windows 7 32/64 service pack 1
процессор,intel dual core 2.4 ghz - i7 3930k 6 core x 3.06 ghz / amd dual core 2.6 ghz - fx8150 8 core x 3.6 ghz
оперативна€ пам€ть,2gb - 16gb
download size,772mb
видео карта,nvidia 8600 gt 512mb vram Ц nvidia geforce gtx 680 2gb vram / radeon hd 3400 512mb vram - radeon hd 7970 3gb vram
звукова€ карта,100% direct x 9.0 compatible Ц direct x 9.0 compatible supporting dolby digital live
additional,"please refer to your hardware manufacturer and http://www.rockstargames.com/support for current compatibility information. some system components such as mobile chipsets, integrated, and agp graphics cards may be incompatible. unlisted specifications may not be supported by publisher."
,
windows_min_Dungeons & Treasure VR,windows_min_Dungeons & Treasure VR
операционна€ система,"windows 7 sp1, windows 8.1, or windows 10"
процессор,intel i5-4590 / amd fx 8350
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 970 / amd radeonЩ r9 290
,
windows_min_Bloody Chronicles - New Cycle of Death Visual Novel,windows_min_Bloody Chronicles - New Cycle of Death Visual Novel
