оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 750,видео карта,nvidia gtx 1050
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Stellar Space,windows_min_Stellar Space
операционная система,os x high sierra 10.13
оперативная память,85 mb
,
windows_min_MIGHT'N MOW'EM,windows_min_MIGHT'N MOW'EM,windows_req_MIGHT'N MOW'EM,windows_req_MIGHT'N MOW'EM
операционная система,ubuntu 16.04,операционная система,ubuntu 16.04 or higher
процессор,2.8 ghz dual core cpu,процессор,3.2 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 660, radeon r7 370 with 2 gb of video",видео карта,"geforce 960, radeon rx 570 with 4gb of video"
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Stack by stack,windows_min_Stack by stack,windows_req_Stack by stack,windows_req_Stack by stack
операционная система,"windows xp, windows 7,windows 8,windows 10, windows 11",операционная система,"windows xp, windows 7,windows 8,windows 10, windows 11"
процессор,1 ghz,процессор,1.3 ghz
оперативная память,512 mb,оперативная память,2048 mb
видео карта,1 gb,видео карта,2 gb
,,,
windows_min_Breath of Ghosts,windows_min_Breath of Ghosts,windows_req_Breath of Ghosts,windows_req_Breath of Ghosts
операционная система,windows 7; 8; 10,операционная система,windows 7; 8; 10
процессор,intel core™ i5-3550,процессор,intel core™ i5-3550
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 1050 ti,видео карта,geforce gtx 1070
directx,version 10,directx,version 10
,,,
windows_min_Ashzel & The Power Dagger,windows_min_Ashzel & The Power Dagger,windows_req_Ashzel & The Power Dagger,windows_req_Ashzel & The Power Dagger
операционная система,10,операционная система,10
процессор,windows,процессор,windows
,,,
windows_min_Shadow of Asha,windows_min_Shadow of Asha
операционная система,windows 10
процессор,celeron(r) cpu 4205u @ 1.8ghz
оперативная память,4 gb
видео карта,intel uhd graphics for 8th generation intel s
,
windows_min_DROP - System Breach,windows_min_DROP - System Breach,windows_req_DROP - System Breach,windows_req_DROP - System Breach
операционная система,"windows 7, 8.1, 10 (64bit)",операционная система,"windows 7, 8.1, 10 (64bit)"
процессор,intel core™ i3-4160,процессор,intel core™ i5-3570
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd graphics 4400,видео карта,nvidia geforce gtx 660
directx,version 11,directx,version 11
,,,
windows_min_Down the Drain,windows_min_Down the Drain,windows_req_Down the Drain,windows_req_Down the Drain
операционная система,windows 8,операционная система,windows 10
процессор,4th generation intel i3,процессор,4th generation intel i5 ()
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 4400,видео карта,intel hd graphics 4400 ()
диск,800 mb,диск,800 mb
,,,
windows_min_Cool Game,windows_min_Cool Game
операционная система,windows 7
процессор,1.8 ghz
видео карта,512 mb
,
windows_min_Realms,windows_min_Realms,windows_req_Realms,windows_req_Realms
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-10300h,процессор,intel core™ i7-10750h 2.6ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce rtx™ 3050 gpu 4gb gddr6,видео карта,nvidia geforce rtx™ 3060 gpu 6gb gddr6
,,,
windows_min_Qwilight,windows_min_Qwilight,windows_req_Qwilight,windows_req_Qwilight
операционная система,windows 10 version 1903 (may 2019 update),операционная система,windows 10 version 1903 (may 2019 update)
процессор,"intel pentium™ s, amd athlon™ s",процессор,"intel core™ i3 s, amd ryzen™ 3 s"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"intel hd graphics 4000, nvidia geforce gts 450",видео карта,"intel uhd graphics 630, nvidia geforce gtx 750"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
звуковая карта,—,звуковая карта,asio 2.0
,,,
windows_min_Survivor Legends,windows_min_Survivor Legends
операционная система,windows7/8/10
процессор,i3
оперативная память,512 mb
видео карта,nvidia gt1030
диск,50 mb
,
windows_min_Hide And Seek Scramble!,windows_min_Hide And Seek Scramble!
операционная система,10.13.0
,
windows_min_Epic Jump!,windows_min_Epic Jump!,windows_req_Epic Jump!,windows_req_Epic Jump!
операционная система,widnows 10 64bit,операционная система,widnows 10 64bit
процессор,amd ryzen 5 2600,процессор,intel core i5-8600k
оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon 580,видео карта,geforce gtx 1660
,,,
windows_min_Maniacs,windows_min_Maniacs,windows_req_Maniacs,windows_req_Maniacs
операционная система,7,операционная система,10
процессор,intel core i3-10100f,процессор,intel i5-10400
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gt 630,видео карта,nvidia gtx 1650
directx,version 5.2,directx,version 9.0
диск,2 gb,диск,2 gb
,,,
windows_min_Pixel Survivors : Roguelike,windows_min_Pixel Survivors : Roguelike
операционная система,windows 7
процессор,intel pentium 4 that's sse2 capable
оперативная память,4 gb
,
windows_min_99 Fails Lite,windows_min_99 Fails Lite,windows_req_99 Fails Lite,windows_req_99 Fails Lite
операционная система,linux/steamos,операционная система,—
процессор,potato,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,potato,видео карта,—
directx,version 11,directx,—
диск,22 gb,диск,—
звуковая карта,potato,звуковая карта,—
,,,
windows_min_369,windows_min_369,windows_req_369,windows_req_369
операционная система,"windows 10, 8.1, 7",операционная система,"windows 10, 8.1, 7"
процессор,"intel core 2 quad q6600 @ 2.4 ghz, amd fx 8120 @ 3.1 ghz",процессор,"intel i7 920 @ 2.7 ghz, amd phenom ii 945 @ 3.0 ghz"
оперативная память,4000 mb,оперативная память,8000 mb
