windows_min_The Cat Games,windows_min_The Cat Games
операционная система,"windows 7, 8, 10"
процессор,1.33 ghz
оперативная память,2 gb
видео карта,256 mb
,
windows_min_Executive Assault 2,windows_min_Executive Assault 2,windows_req_Executive Assault 2,windows_req_Executive Assault 2
операционная система,high sierra,операционная система,high sierra
процессор,intel i5,процессор,intel i7
оперативная память,8 gb,оперативная память,—
видео карта,radeon or nvidia,видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,2 gb,диск,—
,,,
windows_min_Aircraft Carrier Survival,windows_min_Aircraft Carrier Survival,windows_req_Aircraft Carrier Survival,windows_req_Aircraft Carrier Survival
операционная система,"windows 7,8 10",операционная система,windows 10
процессор,intel core i3-2100 / amd phenom ii x4 965,процессор,intel core i5-4670k / amd fx-8320
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gtx 550 ti / intel hd 620,видео карта,geforce gtx 960 / radeon r9 290x
directx,version 10,directx,version 10
,,,
windows_min_Maelstrom,windows_min_Maelstrom
операционная система,windows 7
процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
сеть,широкополосное подключение
,
windows_min_War Trigger Classic,windows_min_War Trigger Classic
оперативная память,2 gb
сеть,широкополосное подключение
,
windows_min_Super Neptunia RPG,windows_min_Super Neptunia RPG,windows_req_Super Neptunia RPG,windows_req_Super Neptunia RPG
операционная система,"windows 7, 32bit, 64bit (directx 12 equivalent)",операционная система,windows 10 64bit (directx 12 equivalent)
процессор,intel i5 2.3ghz or amd a9 2.9ghz equivalent,процессор,intel i5 3.3ghz or amd fx-8350 4.0ghz equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,"ati mobility radeon hd 5xxx, 1gb vram 5000",видео карта,nvidia geforce gtx 960ati mobility radeon r9 290
диск,5 gb,диск,5 gb
,,,
windows_min_AHEGAL,windows_min_AHEGAL
операционная система,windows 7
процессор,1.5 ghz dual core
оперативная память,2 gb
видео карта,intel hd graphics 4000
directx,version 10
,
windows_min_Chaser,windows_min_Chaser,windows_req_Chaser,windows_req_Chaser
операционная система,windows 98se/me/2000/xp,операционная система,windows 98se/me/2000/xp
процессор,650 mhz pentium iii or comparable,процессор,650 mhz pentium iii or comparable
оперативная память,128 mb,оперативная память,256 mb
видео карта,directx 8.1 3d graphic card (32 mb),видео карта,directx 8.1 3d graphic card (64 mb)
directx,directx 8.1,directx,directx 8.1
диск,1.35 gb of free hard disk space,диск,1.35 gb of free hard disk space
,,,
windows_min_Cloudbuilt,windows_min_Cloudbuilt,windows_req_Cloudbuilt,windows_req_Cloudbuilt
операционная система,windows 7,операционная система,windows 7
процессор,2ghz intel dual core,процессор,intel core i5 ()
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb opengl 3.2 compatible card,видео карта,nvidia geforce 560 ti (or ati equivalent)
диск,3 gb,диск,3 gb
звуковая карта,any compatible soundcard,звуковая карта,any compatible soundcard
,,,
windows_min_Hedon,windows_min_Hedon,windows_req_Hedon,windows_req_Hedon
операционная система,linux | ubuntu 18.04 | mint 19 | debian 10,операционная система,linux | ubuntu 18.04 | mint 19 | debian 10
процессор,2.4 ghz dual-core,процессор,intel i5 and above
