windows_min_Champs TD,windows_min_Champs TD
операционная система,windows 7 - 64bit
процессор,intel i5 or new-gen i3 / amd equivalent
видео карта,ati hd7900 series or nvidia equivalent.
directx,version 11
диск,5 gb
,
windows_min_KEEK,windows_min_KEEK,windows_req_KEEK,windows_req_KEEK
операционная система,macos 10.13,операционная система,—
процессор,intel core i3 / apple m1,процессор,—
оперативная память,2 gb,оперативная память,—
,,,
windows_min_AirRaid,windows_min_AirRaid
операционная система,windows 10
процессор,"2 core,"
оперативная память,1 gb
видео карта,gtx 1060
directx,version 11
,
windows_min_Volunteer,windows_min_Volunteer,windows_req_Volunteer,windows_req_Volunteer
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,windows xp / vista / 7 / 8 / 10
процессор,core 2 duo,процессор,quad core 2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 620,видео карта,"intel hd graphics 4000, ati radeon hd-series 4650, nvidia geforce 2xx-series"
directx,version 9.0,directx,version 11
диск,1.6 gb,диск,1.6 gb
звуковая карта,none,звуковая карта,any
,,,
windows_min_Twin Cores,windows_min_Twin Cores,windows_req_Twin Cores,windows_req_Twin Cores
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5 2400,процессор,intel core i5 10500
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 950,видео карта,nvidia gtx 1060
диск,2 gb,диск,2 gb
,,,
windows_min_Minion Raid: Epic Monsters,windows_min_Minion Raid: Epic Monsters
,
windows_min_MECH PUNK,windows_min_MECH PUNK
операционная система,windows 10
процессор,2.90 ghz
оперативная память,8 gb
видео карта,geforce 2 gb
диск,500 mb
,
windows_min_Everything Has Arms,windows_min_Everything Has Arms,windows_req_Everything Has Arms,windows_req_Everything Has Arms
операционная система,windows 10 or higher,операционная система,windows 10 or higher
процессор,intel i5 or ryzen 5 1400,процессор,intel i7 or ryzen 5 3600
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1060
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Little Nemo The Clown,windows_min_Little Nemo The Clown
операционная система,windows 7 sp1 or higher
процессор,1.80ghz
оперативная память,2 gb
видео карта,dx10 video card with 512mb of vram
directx,version 10
,
windows_min_Sosso,windows_min_Sosso
операционная система,windows 7
процессор,intel core i3 m380
оперативная память,2 mb
видео карта,intel hd 4000
directx,version 9.0
,
windows_min_Alien Decimation,windows_min_Alien Decimation
операционная система,windows 7 or above
процессор,1.8ghz single core
оперативная память,4 gb
видео карта,runs fine with motherboard graphics
диск,255 mb
звуковая карта,n/a
,
windows_min_Red Wukong,windows_min_Red Wukong,windows_req_Red Wukong,windows_req_Red Wukong
операционная система,windows 10,операционная система,windows 11
процессор,3.5 ghz intel core i5 3450 or amd fx-8350,процессор,intel core i7 8700k / amd ryzen7 2700x
оперативная память,6 gb,оперативная память,8 gb
видео карта,gtx1650,видео карта,rtx2060
directx,version 12,directx,version 12
диск,12 gb,диск,12 gb
,,,
windows_min_CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!!,windows_min_CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!!,windows_req_CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!!,windows_req_CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!!
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,intel core i3 series or amd ryzen 3 series,процессор,intel core i5 series or amd ryzen 5 series
оперативная память,4 gb,оперативная память,8 gb
видео карта,2gb vram,видео карта,4gb vram or more
directx,version 10,directx,version 11
,,,
windows_min_Lost Light,windows_min_Lost Light,windows_req_Lost Light,windows_req_Lost Light
операционная система,"windows7sp1, windows8.1, windows10",операционная система,"windows7sp1, windows8.1, windows10"
процессор,intel i3 530,процессор,i3-8100
оперативная память,4 gb,оперативная память,8 gb
видео карта,gts450,видео карта,gtx 1650
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_,windows_min_
операционная система,windows 7
процессор,intel core i3-2100 |; amd phenom ii x4 965
оперативная память,2000 mb
видео карта,"nvidia geforce gtx 650 ti, 2gb  amd radeon hd 7790, 2gb"
directx,version 11
сеть,широкополосное подключение
диск,500 mb
,
windows_min_Binary.,windows_min_Binary.,windows_req_Binary.,windows_req_Binary.
операционная система,windows 10,операционная система,windows 10
процессор,intel(r) core(tm) i7-8700k,процессор,intel(r) core(tm) i7-8700k
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1080 ti,видео карта,nvidia geforce gtx 1080 ti
,,,
windows_min_TheFighters Online,windows_min_TheFighters Online,windows_req_TheFighters Online,windows_req_TheFighters Online
операционная система,windows,операционная система,windows
процессор,any,процессор,core i5
видео карта,any,видео карта,any
directx,version 9.0,directx,—
сеть,широкополосное подключение,сеть,—
диск,2 gb,диск,2 gb
,,,
windows_min_Force of Warships: Battleship Games,windows_min_Force of Warships: Battleship Games,macos_min_Force of Warships: Battleship Games,macos_min_Force of Warships: Battleship Games,linux_min_Force of Warships: Battleship Games,linux_min_Force of Warships: Battleship Games
операционная система,"windows 7, 8.0, 8.1, 10",операционная система,mac os x 10.8,операционная система,"steamos, fedora, ubuntu"
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,video card with 512 mb,видео карта,video card with 512 mb,видео карта,video card with 512 mb
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
,,,,,
