windows_min_Skul: The Hero Slayer,windows_min_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer
процессор,intel core i5-2400 or amd phenom ii x6 1100t,процессор,intel core i5-3470 or amd ryzen 3 1200
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 750 ti or radeon hd 7950,видео карта,geforce gtx 960 or radeon r9 280x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Duck Game,windows_min_Duck Game
операционная система,windows 7
процессор,2.0ghz
оперативная память,1 gb
видео карта,pixel shader 2.0
directx,version 9.0
,
windows_min_Street Fighter V,windows_min_Street Fighter V,windows_req_Street Fighter V,windows_req_Street Fighter V
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690k @3.50ghz or amd fx-9370
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, gtx 570, gtx 670,",видео карта,nvidia geforce gtx 960 or amd radeon r7 370
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
звуковая карта,directx compatible soundcard or onboard chipset,звуковая карта,directx compatible soundcard or onboard chipset
,,,
windows_min_BioShock™,windows_min_BioShock™,windows_req_BioShock™,windows_req_BioShock™
операционная система,windows xp (with service pack 2) or windows vista,операционная система,—
процессор,intel single-core pentium 4 at 2.4ghz,процессор,intel core 2 duo
оперативная память,1 gb,оперативная память,2gb
видео карта,"direct x 9.0c compliant video card with 128mb and pixel shader 3.0 (nvidia 6600 / ati x1300, excluding ati x1550)",видео карта,"dx 9 - direct x 9.0c compliant video card with 512 mb and pixel shader 3.0 (nvidia geforce 7900 gt ), dx 10 - nvidia geforce 8600"
звуковая карта,100% direct x 9.0c compatible sound card,звуковая карта,soundblaster(r) x-fi(tm) series (optimized foruse with creative labs eax advanced hd 4.0 or eax advanced hd 5.0 compatible sound cards)
,,,
windows_min_Holdfast: Nations At War,windows_min_Holdfast: Nations At War,windows_req_Holdfast: Nations At War,windows_req_Holdfast: Nations At War
операционная система,windows 8 or windows 10,операционная система,windows 8 or windows 10
процессор,3 ghz dual core,процессор,3 ghz quad core
оперативная память,6 gb,оперативная память,8 gb
видео карта,directx 11 compatible card,видео карта,nvidia gtx 970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,35 gb,диск,35 gb
,,,
windows_min_ICEY,windows_min_ICEY,windows_req_ICEY,windows_req_ICEY
операционная система,"os x lion 10.7, .",операционная система,"os x lion 10.7, ."
процессор,intel mac,процессор,intel mac
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics,видео карта,intel hd graphics
,,,
windows_min_ORION: Prelude,windows_min_ORION: Prelude,windows_req_ORION: Prelude,windows_req_ORION: Prelude
операционная система,windows vista sp2 32-bit,операционная система,win 7 / win 8 ()
процессор,amd athlon x2 2.8ghz / intel core 2 duo 2.4 ghz,процессор,amd 4-core / intel 4-core
оперативная память,3 gb,оперативная память,4 gb
видео карта,256 mb graphics memory (sm3),видео карта,512 mb graphics memory (sm 3)
directx,9.0c,directx,9.0c
диск,8 gb hd space,диск,8 gb hd space
звуковая карта,directx 9 compatible,звуковая карта,directx 9 compatible
,,,
windows_min_Marvel's Avengers,windows_min_Marvel's Avengers,windows_req_Marvel's Avengers,windows_req_Marvel's Avengers
операционная система,windows 10,операционная система,windows 10
процессор,i3-4160 or amd equivalent,процессор,"intel core i7 4770k, 3.4 ghz or amd ryzen 5 1600, 3.2 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 950 / amd 270 (min 2gb video),видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 12,directx,version 12
,,,
windows_min_My Friend Pedro,windows_min_My Friend Pedro,windows_req_My Friend Pedro,windows_req_My Friend Pedro
операционная система,"windows 7, 8, 8.1, 10 x64",операционная система,"windows 7, 8, 8.1, 10 x64"
процессор,intel core i3-530 (2 * 2930),процессор,intel core i3-4160 (2 * 3600)
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gt 440 (1024 mb),видео карта,geforce gtx 760 (2048 mb)
,,,
windows_min_Risk of Rain,windows_min_Risk of Rain,macos_min_Risk of Rain,macos_min_Risk of Rain,linux_min_Risk of Rain,linux_min_Risk of Rain
операционная система,windows vista / 7,операционная система,mac os x 10.6+,операционная система,any linux distribution 2012+
процессор,2.5 ghz,процессор,2.5 ghz,процессор,2.5 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,direct x9.0c compatible card,видео карта,"opengl 2.1+ support, and recommended dedicated graphics card with 128 mb of",видео карта,"opengl 2.1+ support, and recommended dedicated graphics card with 128 mb of"
directx,version 9.0,диск,130 mb,диск,130 mb
диск,130 mb,дополнительно,microsoft xbox 360 controller or direct input compatible controller,дополнительно,microsoft xbox 360 controller or direct input compatible controller
,,,,,
windows_min_SpeedRunners,windows_min_SpeedRunners,macos_min_SpeedRunners,macos_min_SpeedRunners,linux_min_SpeedRunners,linux_min_SpeedRunners
операционная система,windows xp and up,операционная система,osx el capitain,операционная система,latest debian redistributable or steamos
процессор,1ghz and up,процессор,1ghz and up - tested on fanless macbooks,процессор,1ghz and up
оперативная память,3 gb,оперативная память,3 gb,оперативная память,3 gb
видео карта,dedicated video card recommended,видео карта,integrated works fine,видео карта,dedicated video card recommended
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
диск,800 mb,диск,800 mb,диск,800 mb
,,,,,
windows_min_Wolfenstein II: The New Colossus,windows_min_Wolfenstein II: The New Colossus,windows_req_Wolfenstein II: The New Colossus,windows_req_Wolfenstein II: The New Colossus
операционная система,"win7, 8.1, or 10 ( versions)",операционная система,"win7, 8.1, or 10"
процессор,amd fx-8350 / ryzen 5 1400 or intel core i5-3570/i7-3770,процессор,amd fx-9370 / ryzen 5 1600x or intel core i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 770 4gb / amd radeon r9 290 4gb,видео карта,nvidia gtx 1060 6gb / amd radeon rx 470 4gb
,,,
windows_min_STAR WARS™: Squadrons,windows_min_STAR WARS™: Squadrons,windows_req_STAR WARS™: Squadrons,windows_req_STAR WARS™: Squadrons
операционная система,windows 10,операционная система,windows 10
