оперативная память,2 gb,оперативная память,8 gb
видео карта,geforce gtx 560,видео карта,geforce gtx 1050
directx,version 10,directx,version 11
диск,1 gb,диск,3 gb
,,,
windows_min_Super Lucky's Tale,windows_min_Super Lucky's Tale,windows_req_Super Lucky's Tale,windows_req_Super Lucky's Tale
операционная система,windows 7 or higher,операционная система,windows 10 version 14393.98 or higher required
процессор,intel core i5 3550 @ 3.3 ghz or amd fx-6300,процессор,intel core i5 4570 @ 3.2 ghz or amd fx - 8350
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd radeon r7 370 or nvidia geforce gtx 660 / 570,видео карта,amd radeon r9 290x or nvidia geforce gtx 780
directx,version 11,directx,version 11
,,,
windows_min_9th Dawn III,windows_min_9th Dawn III,windows_req_9th Dawn III,windows_req_9th Dawn III
операционная система,windows 7,операционная система,windows 10
процессор,pentium 4,процессор,intel i5
оперативная память,1 gb,оперативная память,2 gb
видео карта,integrated graphics,видео карта,nvidia 680 or higher
диск,750 mb,диск,750 mb
,,,
windows_min_Last Command,windows_min_Last Command
операционная система,macos 10.11+
процессор,intel or amd dual core at 2 ghz
оперативная память,4 gb
видео карта,"geforce 9600 gs, radeon hd 5670"
directx,version 11
,
windows_min_Hammerfight,windows_min_Hammerfight,macos_min_Hammerfight,macos_min_Hammerfight,linux_min_Hammerfight,linux_min_Hammerfight
операционная система,windows 98se / me / xp / vista,операционная система,mac os x 10.5,операционная система,compatible with ubuntu 11.04
процессор,athlon / pentium iii 2 ghz,процессор,intel (32 or ),процессор,x86 or amd64 2ghz
оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb
видео карта,directx 8.0 compatible with 64 mb vram,видео карта,any gpu supported by mac os x,видео карта,any reasonable gpu supported
directx,8.0,диск,150 mb,диск,150 mb
диск,150 mb,звуковая карта,any hardware supported by mac os x,звуковая карта,any reasonable hardware supported
,,,,,
windows_min_OVIVO,windows_min_OVIVO,macos_min_OVIVO,macos_min_OVIVO,linux_min_OVIVO,linux_min_OVIVO
операционная система,windows xp,операционная система,mac os x 10.8,операционная система,ubuntu 12.04 + or steamos
процессор,1 ghz,процессор,1 ghz,процессор,1 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,512 mb,видео карта,512 mb,видео карта,512 mb
,,,,,
windows_min_Operencia: The Stolen Sun,windows_min_Operencia: The Stolen Sun,windows_req_Operencia: The Stolen Sun,windows_req_Operencia: The Stolen Sun
операционная система,windows 7/8.1/10 (64bit),операционная система,windows 7/8.1/10 (64bit)
процессор,intel core i5-2500k or amd equivalent,процессор,intel core i7-3770 / amd fx-8350
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 (2048mb) or radeon hd 7970 (3072mb),видео карта,nvidia gtx 1060 / amd radeon rx 570
directx,version 11,directx,version 11
диск,15 gb,диск,15 gb
,,,
windows_min_Pongo,windows_min_Pongo,macos_min_Pongo,macos_min_Pongo,linux_min_Pongo,linux_min_Pongo
операционная система,windows 7,операционная система,os x snow leopard,операционная система,ubuntu 12.04
процессор,core 2 duo,процессор,core 2 duo,процессор,core 2 duo
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,onboard graphics,видео карта,onboard graphics,видео карта,onboard graphics
диск,350 mb,диск,350 mb,диск,350 mb
,,,,,
windows_min_BloodGate,windows_min_BloodGate,windows_req_BloodGate,windows_req_BloodGate,macos_min_BloodGate,macos_min_BloodGate,macos_req_BloodGate,macos_req_BloodGate,linux_min_BloodGate,linux_min_BloodGate,linux_req_BloodGate,linux_req_BloodGate
операционная система,windows 7 or higher,операционная система,windows 7 or higher,операционная система,10.10 or higher,операционная система,10.10 or higher,операционная система,ubuntu 14 or higher,операционная система,ubuntu 14 or higher
процессор,2.0ghz dual core,процессор,quad core,процессор,2.0ghz dual core,процессор,quad core,процессор,2.0ghz dual core,процессор,quad core
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,gt 240 or radeon hd 4670 or intel hd 4400,видео карта,gtx 460 or hd 5850 1gb,видео карта,gt 240 or radeon hd 4670 or intel hd 4400,видео карта,gtx 460 or hd 5850 1gb,видео карта,gt 240 or radeon hd 4670 or intel hd 4400,видео карта,gtx 460 or hd 5850 1gb
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Apewar,windows_min_Apewar,windows_req_Apewar,windows_req_Apewar
операционная система,microsoft windows 8,операционная система,microsoft windows 10
процессор,intel pentium i3 series,процессор,intel pentium i5 series
оперативная память,4 gb,оперативная память,4 gb
видео карта,2048 mb+,видео карта,2048 mb+
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Contra Anniversary Collection,windows_min_Contra Anniversary Collection,windows_req_Contra Anniversary Collection,windows_req_Contra Anniversary Collection
операционная система,windows 10 - 64bit,операционная система,windows 10 - 64bit
процессор,intel core i3-4160,процессор,intel core i3-6300
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd graphics 4400 (vram 128mb),видео карта,geforce gtx 750ti (vram 2gb)
directx,version 11,directx,version 11
диск,504 mb,диск,504 mb
звуковая карта,directx 11 compatible,звуковая карта,directx 11 compatible
,,,
windows_min_KickBeat Steam Edition,windows_min_KickBeat Steam Edition,windows_req_KickBeat Steam Edition,windows_req_KickBeat Steam Edition
операционная система,windows vista/windows 7/windows 8,операционная система,windows vista/windows 7/windows 8
процессор,dual core cpu @ 2 ghz,процессор,dual core cpu @ 2.40 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"]geforce 8600 gt (gddr2, 512mb) / radeon hd 2600 pro (512 mb) category, directx 10 compatible video card",видео карта,"geforce 8600 gt (gddr3, 512 mb) / radeon hd 3670 (512 mb) category, directx 10 compatible video card"
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Loopmancer,windows_min_Loopmancer,windows_req_Loopmancer,windows_req_Loopmancer
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-3470/ amd fx-8310,процессор,intel core i7-4770s / amd fx-9590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 660 / radeon r7 265,видео карта,nvidia gtx 1060 / radeon r9 390x
directx,version 11,directx,version 12
,,,
windows_min_Defense Zone 3 Ultra HD,windows_min_Defense Zone 3 Ultra HD,windows_req_Defense Zone 3 Ultra HD,windows_req_Defense Zone 3 Ultra HD,macos_min_Defense Zone 3 Ultra HD,macos_min_Defense Zone 3 Ultra HD,macos_req_Defense Zone 3 Ultra HD,macos_req_Defense Zone 3 Ultra HD,linux_min_Defense Zone 3 Ultra HD,linux_min_Defense Zone 3 Ultra HD,linux_req_Defense Zone 3 Ultra HD,linux_req_Defense Zone 3 Ultra HD
операционная система,microsoft windows 7,операционная система,microsoft windows 7,операционная система,osx 10.6,операционная система,osx 10.6,операционная система,linux ubuntu 12,операционная система,linux ubuntu 12
процессор,1.5ghz,процессор,2.0,процессор,1.5ghz,процессор,2.0,процессор,1.5ghz,процессор,2.0
оперативная память,1024 mb,оперативная память,2048 mb,оперативная память,1024 mb,оперативная память,2048 mb,оперативная память,1024 mb,оперативная память,2048 mb
