операционная система,"microsoft windows xp sp3, vista sp1 *",операционная система,"microsoft windows xp sp3, vista sp1 *"
процессор,intel dual core 2.0 ghz or amd™ athlon™ 4000+,процессор,intel core 2 duo 2.4 ghz or amd™ athlon™ dual core 5200+/li>;
оперативная память,"xp – 1 gb, vista – 2 gb",оперативная память,2 gb
диск,7.5 gb + 1 gb swap file,диск,7.5 gb + 1 gb swap file
видео карта,3d hardware accelerator card required – 100% directx 9.0c compatible 256 mb video memory - ati radeon x1600 or nvidia geforce 6800 - note: nvidia 260 gtx &; nvidia 280 gtx are not supported.,видео карта,256 mb 3d hardware accelerator card with shader 3.0 support - ati radeon hd 3850 or nvidia geforce 8800 gt - note: nvidia 260 gtx &; nvidia 280 gtx are not supported.
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Monday Night Combat,windows_min_Monday Night Combat
,
windows_min_Slash It 2,windows_min_Slash It 2,macos_min_Slash It 2,macos_min_Slash It 2,linux_min_Slash It 2,linux_min_Slash It 2
операционная система,windows xp,операционная система,mac osx 10.8+,операционная система,ubuntu 12
процессор,1.5ghz +,процессор,1.5ghz +,процессор,1.5ghz +
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,256 mb or higher,видео карта,256 mb or higher,видео карта,256 mb or higher
directx,version 9.0c,диск,300 mb,диск,300 mb
,,,,,
windows_min_Pixel Privateers,windows_min_Pixel Privateers,windows_req_Pixel Privateers,windows_req_Pixel Privateers
операционная система,windows 7+,операционная система,—
процессор,i5-3337u @1.8ghz or above,процессор,—
оперативная память,3 gb,оперативная память,—
видео карта,pixel shader capable graphics card,видео карта,nvidia gt 740m or above
directx,version 9.0c,directx,—
диск,2 gb,диск,—
,,,
windows_min_Cartel Tycoon,windows_min_Cartel Tycoon,windows_req_Cartel Tycoon,windows_req_Cartel Tycoon
операционная система,windows 7 and up,операционная система,windows 10
процессор,i5 and up,процессор,i7 ~3 ghz / ryzen 7
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 960,видео карта,gtx 1060
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_The Brookhaven Experiment,windows_min_The Brookhaven Experiment
операционная система,windows 7 sp1
процессор,intel core i5 4590 or amd fx 8350
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290
звуковая карта,windows compatible sound card
,
windows_min_Brotato,windows_min_Brotato
операционная система,windows 7+
процессор,2 ghz
оперативная память,4 gb
видео карта,128mb
,
windows_min_BARRIER X,windows_min_BARRIER X
операционная система,windows xp
процессор,2 ghz
оперативная память,256 mb
видео карта,direct x9.0c compatible
directx,version 9.0c
диск,100 mb
,
windows_min_GRID Legends,windows_min_GRID Legends,windows_req_GRID Legends,windows_req_GRID Legends
операционная система,windows 10/11,операционная система,windows 10/11
процессор,"intel i3 2130, amd fx4300",процессор,"intel i5 8600k, amd ryzen 5 2600x"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia gtx 950, amd radeon rx 460",видео карта,"nvidia gtx 1080, amd rx590"
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_Fight Angel Special Edition,windows_min_Fight Angel Special Edition,windows_req_Fight Angel Special Edition,windows_req_Fight Angel Special Edition
операционная система,windows 7,операционная система,windows 10
процессор,inter core i5-4690 cpu @ 3.5ghz,процессор,inter core i5-4690 cpu @ 3.5ghz
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,nvidia geforce gtx 750 ti,видео карта,nvidia geforce gtx 750 ti
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_KILL la KILL -IF,windows_min_KILL la KILL -IF
операционная система,windows 7 / 8.1 / 10 (32bit/64bit)
процессор,intel core i5-7500
оперативная память,4 gb
видео карта,geforce gtx760 2gb
directx,version 11
сеть,широкополосное подключение
,
windows_min_NEKO-NIN exHeart,windows_min_NEKO-NIN exHeart
операционная система,windows 7 or above
процессор,1.2 ghz pentium 4
оперативная память,1 gb
видео карта,1280 x 720
directx,version 9.0c
,
windows_min_Bloody Good Time,windows_min_Bloody Good Time,windows_req_Bloody Good Time,windows_req_Bloody Good Time
,,,
windows_min_Drake Hollow,windows_min_Drake Hollow
операционная система,windows 10
процессор,intel core™ i5-2500k / amd fx-6300
оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti 2gb / amd radeon r7 360 2gb
сеть,широкополосное подключение
,
windows_min_Homebrew - Patent Unknown,windows_min_Homebrew - Patent Unknown,windows_req_Homebrew - Patent Unknown,windows_req_Homebrew - Patent Unknown
операционная система,microsoft windows 7 (latest sp),операционная система,microsoft windows 7 (latest sp)
процессор,intel i5 @ 3.0 ghz or higher (or amd equivalent),процессор,intel i5 @ 3.0 ghz or higher (or amd equivalent)
оперативная память,4 gb,оперативная память,8 gb
